Number,BioRep,TechRep,MIC,Notes
1,20230708,A,>256,NA
1,20230708,B,>256,NA
2,20230708,A,>256,NA
2,20230708,B,>256,NA
4,20230708,A,48,NA
4,20230708,B,48,NA
7,20230708,A,>256,NA
7,20230708,B,>256,NA
8,20230708,A,hard to read,NA
8,20230708,B,hard to read,NA
9,20230708,A,16,NA
9,20230708,B,12,NA
10,20230708,A,>256,NA
10,20230708,B,>256,NA
11,20230708,A,>256,NA
11,20230708,B,>256,NA
12,20230708,A,>256,NA
12,20230708,B,>256,NA
17,20230708,A,16,No lawn at 16 but colonies throughout
17,20230708,B,16,No lawn at 16 but colonies throughout
6,20230708,A,>256,NA
6,20230708,B,>256,NA
13,20230708,A,>256,NA
13,20230708,B,>256,NA
14,20230708,A,>256,NA
14,20230708,B,>256,NA
16,20230708,A,>256,NA
16,20230708,B,>256,NA
18,20230708,A,48,NA
18,20230708,B,48,NA
19,20230708,A,>256,NA
19,20230708,B,>256,NA
20,20230708,A,>256,NA
20,20230708,B,>256,NA
22,20230708,A,>256,NA
22,20230708,B,>256,NA
2,20230711,A,48,NA
2,20230711,B,32,NA
3,20230711,A,too streaky to read,NA
3,20230711,B,too streaky to read,NA
4,20230711,A,>256,NA
4,20230711,B,too streaky to read,NA
5,20230711,A,16,NA
5,20230711,B,hard to read,NA
7,20230711,A,>256,NA
7,20230711,B,>256,NA
8,20230711,A,>256,NA
8,20230711,B,>256,NA
9,20230711,A,>256,NA
9,20230711,B,>256,NA
10,20230711,A,>256,NA
10,20230711,B,>256,NA
11,20230711,A,24,NA
11,20230711,B,24,NA
12,20230711,A,>256,NA
12,20230711,B,>256,NA
13,20230711,A,>256,NA
13,20230711,B,>256,NA
17,20230711,A,24,no lawn at 24+ but colonies throughout
17,20230711,B,too streaky to read,NA
18,20230711,A,16,NA
18,20230711,B,16,NA
14,20230711,A,>256,NA
14,20230711,B,>256,NA
16,20230711,A,>256,NA
16,20230711,B,>256,NA
21,20230711,A,>256,NA
21,20230711,B,>256,NA
22,20230711,A,16,NA
22,20230711,B,16,NA
2,20230806,A,>256,NA
2,20230806,B,>256,NA
3,20230806,A,>256,NA
3,20230806,B,>256,NA
1,20230716,A,>256,streaky
1,20230716,B,>256,streaky
9,20230716,A,4,streaky
9,20230716,B,2,"No lawn after 2, colonies throughout"
4,20230806,A,>256,NA
4,20230806,B,too streaky to read,NA
5,20230806,A,48,NA
5,20230806,B,48,NA
3,20230809,A,>256,NA
3,20230809,B,>256,NA
4,20230809,A,too streaky to read,NA
4,20230809,B,too streaky to read,NA
5,20230809A,A,unable to read,NA
5,20230809A,B,unable to read,NA
6,20230809B,A,unable to read,NA
6,20230809B,B,unable to read,NA
7,20230809A,A,64,NA
7,20230809A,B,96,NA
8,20230809B,A,24,NA
8,20230809B,B,96,NA
